书名,评论,作者,推荐,出版社,日期,链接
橘子不是唯一的水果,312958条评论,（英）珍妮特・温特森  著， 新经典  出品,99.9%推荐,北京联合出版有限公司,2018-04-01,http://product.dangdang.com/25233927.html
理想国（商务印书馆汉译名著权威全译本，精装典藏版）,162311条评论,柏拉图 著；郭斌和 张竹明 译,100%推荐,商务印书馆,2020-06-01,http://product.dangdang.com/28989328.html
骆驼祥子 七年级下册推荐阅读 中小学生课外阅读指导丛书 无障碍阅读 彩插励志版 40万多名读者热评！,431182条评论,老舍,99.9%推荐,时代文艺出版社,2021-06-01,http://product.dangdang.com/22854395.html
边城（沈从文代表作）,221181条评论,沈从文,100%推荐,中国友谊出版公司,2019-04-01,http://product.dangdang.com/26922459.html
红星照耀中国  八年级上 名著阅读课程化丛书 导读版 人民教育出版社 团购电话4001066666转6,306599条评论,（美）埃德加・斯诺 著，胡愈之 等译,100%推荐,人民教育出版社,2018-06-01,http://product.dangdang.com/25278830.html
小巴掌童话注音版8册百篇张秋生著 小学生课外读本,352319条评论,张秋生,100%推荐,山东科学技术出版社,2023-06-30,http://product.dangdang.com/25309478.html
明朝那些事儿增补版.全集,465103条评论,当年明月 著，磨铁文化 出品,99.9%推荐,北京联合出版有限公司,2017-05-01,http://product.dangdang.com/29296796.html
那个不为人知的故事,256237条评论,"Twentine 著,酷威文化 出品",100%推荐,四川文艺出版社,2020-10-01,http://product.dangdang.com/29124262.html
也许你该找个人聊聊（李松蔚审校并作序，心理学泰斗欧文・亚隆力荐；入选豆瓣TOP250图书，2.5万人9.0高分推荐）,134925条评论,[美]洛莉・戈特利布，译者 张含笑 ，果麦文化 出品,100%推荐,上海文化出版社,2021-06-01,http://product.dangdang.com/29262795.html
钢铁是怎样炼成的(《语文》推荐阅读丛书)人民文学出版社,200140条评论,（苏）尼・奥斯特洛夫斯基,100%推荐,人民文学出版社,2018-06-01,http://product.dangdang.com/25283699.html
房思琪的初恋乐园 （豆瓣9.2高分！数百万读者强烈共鸣的文学绝唱）,558931条评论,林奕含 著，磨铁图书 出品,100%推荐,北京联合出版有限公司,2018-02-01,http://product.dangdang.com/25208978.html
大宇宙  和爸妈游太空  给孩子的手绘天文绘本,248043条评论,马劲,100%推荐,北京联合出版有限公司,2020-03-23,http://product.dangdang.com/28526631.html
二十四史少年精编版（套装全4册）萃取纯正精华，来自浩如烟海的中华典藏！,66280条评论,何孝荣,100%推荐,青岛出版社,2020-08-01,http://product.dangdang.com/29120271.html
流浪的地球（《三体》作者刘慈欣绚丽想象力之作，关乎人类命运共同体的科幻遐想，大人孩子均可阅读。),696644条评论,刘慈欣 著，小当当童书馆 出品,100%推荐,浙江教育出版社,2018-05-01,http://product.dangdang.com/25259300.html
人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人生真谛，帮你重遇未知的自己，逆袭人生！）,277113条评论,宋默 著，文通天下 出品,99.9%推荐,团结出版社,2014-01-01,http://product.dangdang.com/23394853.html
逻辑表达力:说话缜密有趣，一句顶一万句,137241条评论,刘琳,99.9%推荐,古吴轩出版社,2019-08-01,http://product.dangdang.com/27951136.html
书的全景：通往幸福、成功、财富的地图,43153条评论,池宇峰,100%推荐,中译出版社（原中国对外翻译出版公司）,2022-04-01,http://product.dangdang.com/29394068.html
昆虫记（语文教材“名著导读”经典・八年级上。内容更丰富版本：33张彩色照片图+系统分类目录+昆虫谱系表+大量详注+颠覆性纠错，帮你构筑系统的知识体系）,243590条评论,[法]让-亨利・法布尔  著    陈筱卿  译,99.9%推荐,时代文艺出版社,2017-09-01,http://product.dangdang.com/25126137.html
花婆婆――清华附小推荐的经典绘本！美国国家图书奖作品！,576894条评论,文/图:芭芭拉库尼，启发童书馆 出品,99.6%推荐,河北教育出版社,2019-11-11,http://product.dangdang.com/28479620.html
米小圈上学记一年级（套装共4册）,689546条评论,北猫,100%推荐,四川少年儿童出版社,2018-04-01,http://product.dangdang.com/25261327.html
夏天、烟火和我的尸体（张震、田�D推荐。乙一16岁惊世成名作，高口碑暗黑杰作，获第6届JUMP小说大奖）,288329条评论,（日）乙一   著，  新经典   出品,100%推荐,南海出版公司,2019-09-01,http://product.dangdang.com/27941986.html
南京大屠杀:第二次世界大战中被遗忘的大浩劫（《南京浩劫：被遗忘的大屠杀》）,164929条评论,【美】张纯如（Iris Chang）,99.9%推荐,中信出版社,2015-08-01,http://product.dangdang.com/23739650.html
罪与罚（“俄罗斯文学天才”陀思妥耶夫斯基成名之作，人能从洁白里拷打出罪恶，也能从罪恶中拷打出洁白）,84650条评论,(俄罗斯) 陀思妥耶夫斯基著，知书达礼 出品,99.9%推荐,台海出版社,2020-09-01,http://product.dangdang.com/29138984.html
月光落在左手上（精装珍藏版）,183887条评论,余秀华  著 ， 新经典  出品,99.9%推荐,北京十月文艺出版社,2020-09-01,http://product.dangdang.com/29126248.html
古文观止（上下册，原文+导读+注释+翻译，特别适合青少年）,296398条评论,[清]吴楚材，吴调侯 编  钱素洲 译,99.9%推荐,浙江教育出版社,2016-09-01,http://product.dangdang.com/24021172.html
人间词话（王国维先生的代表作，近代较富盛名的词话著作）,603575条评论,王国维　著,99.9%推荐,北京联合出版公司,2015-06-01,http://product.dangdang.com/23715237.html
安徒生童话（小学语文“快乐读书吧”・三年级上阅读，叶君健先生翻译）,220236条评论,［丹］安徒生　著 ，叶君健　译,99.9%推荐,安徽教育出版社,2015-05-01,http://product.dangdang.com/23696382.html
刘擎西方现代思想讲义（奇葩说导师、得到App主理人刘擎讲透西方思想史，马东、罗振宇、陈嘉映、施展力荐）,146609条评论,刘擎 著; 得到图书 出品,100%推荐,新星出版社,2021-01-17,http://product.dangdang.com/29180031.html
朝花夕拾  七年级上 名著阅读课程化丛书 导读版 人民教育出版社,272681条评论,鲁迅 著,100%推荐,人民教育出版社,2017-06-01,http://product.dangdang.com/25112867.html
歪歪兔逆商教育系列图画书合集全20册（儿童情绪与行为引导培养，逆商培养挫折教育，歪歪兔童书馆出品）,395766条评论,歪歪兔关键期早教项目组,99.7%推荐,海豚出版社,2021-08-01,http://product.dangdang.com/29277061.html
银火箭少年科幻系列・第1辑（8册。“雨果奖”得主、三体作者刘慈欣主编，套装内作者作品曾获银河奖特等奖等多项国际大奖）,696644条评论,刘慈欣、[英]赫伯特・乔治・威尔斯、[英]玛丽・雪莱等 著，小当当童书馆 出品,100%推荐,浙江教育出版社,2018-04-02,http://product.dangdang.com/25259302.html
人教版快乐读书吧 二年级下册套装（七色花+神笔马良+一起长大的玩具+愿望的实现）共4册 语文教科书配套书目,193065条评论,曹文轩 陈先云 主编,100%推荐,人民教育出版社,2019-01-01,http://product.dangdang.com/28486696.html
枪炮、病菌与钢铁（赠解读册）,96196条评论,贾雷德・戴蒙德 Jared Diamond,100%推荐,中信出版社,2022-01-14,http://product.dangdang.com/29351602.html
金奖好书 小学生必背古诗词75+80首全国通用1-6年级含统编版人教版RJ教材必背129首(王芳推荐)共200首超50万读者热评全国多地语文老师推荐彩绘注音有声版团购电话4001066666转6,514593条评论,说词解字辞书研究中心,100%推荐,华语教学出版社,2014-02-01,http://product.dangdang.com/23435948.html
绿野仙踪（原版插图本，影响孩子成长的经典童话，儿童文学翻译家张炽恒未删节全译）,168139条评论,〔美〕莱曼・弗兰克・鲍姆 著，张炽恒 译,100%推荐,北京联合出版公司,2016-10-12,http://product.dangdang.com/24080100.html
华夏万卷 楷书入门6件套 楷书字帖田英章书钢笔字帖成人学生硬笔书法教程初学者基础字帖(赠控笔训练),132654条评论,田英章 书,100%推荐,上海交通大学出版社,2018-12-01,http://product.dangdang.com/29130546.html
理想国（畅销多年，柏拉图代表作，人类文明的里程碑）,337050条评论,柏拉图,99.8%推荐,中国华侨出版社,2012-05-01,http://product.dangdang.com/22765017.html
心理抚养,147013条评论,李玫瑾,100%推荐,上海三联书店,2021-06-01,http://product.dangdang.com/29249369.html
和爸爸一起科学启蒙绘本（全8册+66个彩蛋，歪歪兔出品）,41785条评论,关航  文；徐敏君绘,99.9%推荐,海豚出版社,2021-10-01,http://product.dangdang.com/29309637.html
小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,367279条评论,博多・舍费尔,100%推荐,中信出版社,2021-01-20,http://product.dangdang.com/29177871.html
稻草人（于平凡中讲述感天动地的人格魅力，让孩子读懂平凡也有闪光点的人生哲理。手绘精美插图）,158090条评论,叶圣陶，小当当童书馆 出品,100%推荐,安徽教育出版社,2018-12-01,http://product.dangdang.com/26315049.html
如果历史是一群喵11・南宋金元篇,120388条评论,肥志编绘，漫友文化出品,100%推荐,广东旅游出版社,2022-10-01,http://product.dangdang.com/29475407.html
100层的房子系列（全4册，《100层的房子》+《地下100层的房子》+《海底100层的房子》+《天空100层的房子》）,291392条评论,[日]岩井俊雄  100层童书馆 出品,100%推荐,北京科学技术出版社,2018-08-01,http://product.dangdang.com/26916076.html
美国儿科学会育儿百科（第7版）,474818条评论,美) 塔尼娅・奥尔特曼,100%推荐,北京科学技术出版社,2020-12-01,http://product.dangdang.com/29133667.html
丰子恺万般滋味，都是生活,654067条评论,丰子恺,100%推荐,华中科技大学出版社,2018-09-01,http://product.dangdang.com/25308985.html
回家（孙悦新书！电影《亲爱的》原型之一孙海洋的漫漫寻子路，传递爱的教育。）,72001条评论,孙悦,100%推荐,中信出版社,2022-09-30,http://product.dangdang.com/29460896.html
在峡江的转弯处：陈行甲人生笔记（当当专享亲笔信随机派发，南方周末、万圣书园2021十大好书）,130683条评论,陈行甲,100%推荐,人民日报出版社,2021-01-26,http://product.dangdang.com/29180001.html
如果历史是一群喵9・五代十国篇,105314条评论,肥志著 漫友文化出品,100%推荐,广东旅游出版社,2021-10-01,http://product.dangdang.com/29325171.html
晚熟的人（莫言新书）,435901条评论,莫言,100%推荐,人民文学出版社,2020-07-01,http://product.dangdang.com/28994936.html
健康不走弯路：细节打造好身体,75257条评论,刘加勇,100%推荐,中国人口出版社,2022-10-01,http://product.dangdang.com/29476617.html
想为你的深夜放一束烟火（刘同新书，随书附赠手写书名海报！暗处亦有光亮，深夜亦可疗伤，23个暖心鼓气的故事）,31554条评论,刘同，果麦文化 出品,99.9%推荐,浙江文艺出版社,2022-06-01,http://product.dangdang.com/29407842.html
沈从文：到日光下去生活（今天也要好好过。到日光下去，去找到你的甜。沈从文先生诞辰120周年全彩纪念版！一本书阅尽沈从文作品精华。汪曾祺、季羡林、贾平凹、曹文轩、董卿等极力推崇。）,113475条评论,沈从文,100%推荐,中国致公出版社,2021-08-01,http://product.dangdang.com/29278002.html
停止你的内在战争,49015条评论,黄仕明,100%推荐,民主与建设出版社,2022-05-01,http://product.dangdang.com/29384636.html
西游记原著版（上、下册）（团购电话:400-1066666转6）,448260条评论,吴承恩,99.3%推荐,人民文学出版社,2010-10-01,http://product.dangdang.com/104336.html
四五快读 全彩图升级版――幼儿快速识字阅读法（全8册）(让孩子爱上阅读 快乐识字)[精选套装],528229条评论,杨其铎　著,99.9%推荐,湖南科技出版社,2012-02-01,http://product.dangdang.com/22745425.html
小鸡球球触感玩具书:全5册（升级点读版，纸板书、触摸发声书、翻翻书、洞洞书）,505065条评论,作绘者：[日]入山 智  译者：崔维燕,99.9%推荐,新星出版社,2022-01-18,http://product.dangdang.com/29353542.html
中国民间故事 田螺姑娘 快乐读书吧 五年级上册推荐阅读(中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,66409条评论,扬光编选,100%推荐,商务印书馆,2020-06-01,http://product.dangdang.com/28981729.html
作家榜名著：老人与海（百万册珍藏版《老人与海》！作家鲁羊经典全译本！人可以被毁灭，但不能被打败！读经典名著认准作家榜！）,346282条评论,[美] 海明威 著，作家榜经典名著 出品，鲁羊 译,100%推荐,浙江文艺出版社,2017-02-20,http://product.dangdang.com/24183943.html
小猪唏哩呼噜(注音版上下),688533条评论,孙幼军,99.9%推荐,春风文艺出版社,2021-11-01,http://product.dangdang.com/29318457.html
科幻世界・三体(二)黑暗森林,305003条评论,刘慈欣，科幻世界出品,99.9%推荐,重庆出版社,2008-05-01,http://product.dangdang.com/20974282.html
月亮与六便士（精装典藏版，未删节全译+详细详注+12幅高更画作+14幅毛姆照片）,125496条评论,〔英〕毛姆 著 ；苏福忠 译,99.9%推荐,时代文艺出版社,2019-06-01,http://product.dangdang.com/27874293.html
海蒂怀孕大百科（全新第5版，  百万育儿大V大J小D、年糕妈妈推荐！）,164737条评论,（美）海蒂・麦考夫，（美）莎伦・梅泽尔 著，新经典 出品,99.9%推荐,南海出版公司,2019-04-01,http://product.dangdang.com/27380294.html
我不敢说，我怕被骂――邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本！,596608条评论,[荷兰]皮姆・范・赫斯特 著，启发童书馆 出品,100%推荐,北京联合出版公司,2019-11-01,http://product.dangdang.com/27942695.html
在细雨中呼喊（精装版）,146314条评论,余华 著，新经典 出品,100%推荐,北京十月文艺出版社,2018-05-01,http://product.dangdang.com/25263398.html
大卫科波菲尔（狄更斯传奇自传性小说，翻译家宋兆霖全译本）,144305条评论,"[英] 查尔斯・狄更斯 著, 宋兆霖 译",99.8%推荐,作家出版社,2015-08-01,http://product.dangdang.com/23753565.html
趣说中国史1+2（全2册）,285830条评论,趣哥,100%推荐,台海出版社,2022-06-01,http://product.dangdang.com/29408238.html
大熊先生盖房子（澳大利亚青少年图书奖获奖作家、加拿大总督奖获奖绘者联袂打造）,113046条评论,(澳) 珍・戈德温、(澳) 迈克尔・瓦格纳 文，(加) 安德鲁・乔伊纳 图，方素珍 译，小当当童书馆 出品,100%推荐,中译出版社,2017-11-01,http://product.dangdang.com/25183398.html
霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的所有可能）,899694条评论,（哥伦比亚）加西亚 ・ 马尔克斯  著 ， 新经典  出品,100%推荐,南海出版公司,2020-03-01,http://product.dangdang.com/28522850.html
这世界很好，但你也不差（打破满意度低幸福感差，这世界真叫人疲倦的死循环。万特特全新作品，《这世界很烦，但你要很可爱》姊妹篇）,128592条评论,万特特,100%推荐,新世界出版社,2021-08-01,http://product.dangdang.com/29272806.html
活法,430045条评论,【日】稻盛和夫,99.8%推荐,东方出版社,2019-11-01,http://product.dangdang.com/28481444.html
罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸,370529条评论,(英) 罗尔德・达尔 著； (英) 昆汀・布莱克绘；代维 译。,100%推荐,明天出版社,2018-09-01,http://product.dangdang.com/25575797.html
我们仨（新版）,1612390条评论,杨绛,99.8%推荐,生活.读书.新知三联书店,2018-06-01,http://product.dangdang.com/25284154.html
列那狐的故事 快乐读书吧 五年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 96000多名读者热评！,178019条评论,（法）玛特 艾 季罗夫人著,100%推荐,南方出版社,2021-06-01,http://product.dangdang.com/23327542.html
知行合一王阳明大全集（套装共3册）（全面解读知行合一理念的经典全集）,81121条评论,度阴山 著；读客文化 出品,100%推荐,江苏凤凰文艺出版社,2018-03-05,http://product.dangdang.com/25236155.html
科幻世界・三体(三)死神永生,296178条评论,刘慈欣，科幻世界出品,99.9%推荐,重庆出版社,2010-11-01,http://product.dangdang.com/20994167.html
非自然死亡：我的法医笔记（法医秦明冠名推荐，15年法医生涯，19宗真实案件改编。全网阅读超1亿人次！）,159896条评论,刘晓辉 著，真故图书 出品,100%推荐,台海出版社,2020-11-30,http://product.dangdang.com/29177689.html
有故事的汉字 第1辑（全3册）彩色印刷，图文并茂，详细诠释汉字的根与源，汉字的形与意,203690条评论,邱昭瑜,99.8%推荐,青岛出版社,2015-01-06,http://product.dangdang.com/23629505.html
手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯养成书，缓解新手爸妈育儿焦虑，王志庚、孙莉莉、朱爱朝推荐,488935条评论,（美）伊丽莎白・弗迪克、（美）玛丁妮・阿加西/著（美）玛丽卡・海因莱因/绘 陈薇薇、刘宣谷/译,99.9%推荐,贵州教育出版社,2018-04-01,http://product.dangdang.com/25284537.html
长安的荔枝,288815条评论,"马伯庸 著,博集天卷 出品",100%推荐,湖南文艺出版社,2022-10-31,http://product.dangdang.com/29470275.html
一只想飞的猫 二年级上册 小学生二年级快乐读书吧推荐阅读 全彩注音有声朗读 二年级课外阅读,92159条评论,陈伯吹,100%推荐,商务印书馆,2019-06-01,http://product.dangdang.com/27883645.html
月亮与六便士（曾获豆瓣9.4高分评论，一本好书、腾讯视频栏目推荐）,241087条评论,毛姆,99.8%推荐,南海出版公司,2016-04-01,http://product.dangdang.com/23924481.html
十二生肖的故事――首届丰子恺儿童图画书奖得主  赖马作品！,204955条评论,文/图：赖马，启发童书馆 出品,100%推荐,河北教育出版社,2020-03-28,http://product.dangdang.com/28519501.html
不一样的卡梅拉手绘本（1-12册）,943041条评论,"（法）克利斯提昂 约里波瓦著郑迪蔚译 ,（法）克利斯提昂 艾利施绘",99.7%推荐,二十一世纪出版社,2013-06-01,http://product.dangdang.com/23257828.html
月亮和六便士（毛姆代表作之一，全新导读+无删节详注版）,614470条评论,〔英〕毛姆 著  苏福忠 译,99.9%推荐,时代文艺出版社,2017-09-01,http://product.dangdang.com/25126128.html
同名同姓受害者协会（登场人物全员同名同姓！江户川乱步奖得主推理神作！）（读客悬疑文库）,42817条评论,[日] 下村敦史；虞侃 译；读客文化 出品,100%推荐,文汇出版社,2022-03-30,http://product.dangdang.com/29386315.html
罪与罚 犯罪心理分析小说的大师级经典之作 世界名著典藏,127239条评论,"（俄）陀思妥耶夫斯基（著),朱宪生、曾思艺译 万亭文化 出品",100%推荐,中央编译出版社,2015-06-01,http://product.dangdang.com/23806802.html
心若菩提(增订本),140917条评论,曹德旺 著,100%推荐,人民出版社,2020-10-01,http://product.dangdang.com/29144556.html
汤姆・索亚历险记（深受儿童欢迎的冒险小说，小学语文“快乐读书吧”・六年级下阅读）,257480条评论,〔美〕马克・吐温 著 张友松 译,100%推荐,浙江工商大学出版社,2017-04-01,http://product.dangdang.com/25061586.html
儒林外史(56回全本，内容考证、文字句读全新修订版),334372条评论,吴敬梓,99.7%推荐,花山文艺出版社,2015-07-01,http://product.dangdang.com/23733160.html
外婆的道歉信（外婆说，要大笑要做梦要与众不同。人生是一场伟大的冒险。销量突破100万册。随书附赠一封神秘道歉信）,648226条评论,[瑞典]弗雷德里克・巴克曼，译者 孟汇一，果麦文化 出品,99.9%推荐,天津人民出版社,2017-05-01,http://product.dangdang.com/25072421.html
陪孩子弯道超车（给家长和孩子的逆袭指南）,101074条评论,吉田 著，磨铁文化 出品,100%推荐,北京联合出版有限公司,2022-07-01,http://product.dangdang.com/29431668.html
走遍世界 图说天下 寻梦之旅,235550条评论,王秀莉,100%推荐,四川人民出版社,2020-12-01,http://product.dangdang.com/29174191.html
钱穆谈中国历史文化：中国历史精神,139646条评论,钱穆,100%推荐,贵州人民出版社,2019-06-06,http://product.dangdang.com/27874588.html
万历十五年 一本好书 腾讯视频栏目推荐,883389条评论,黄仁宇,99.5%推荐,生活.读书.新知三联书店,2006-06-01,http://product.dangdang.com/23445575.html
米小圈脑筋急转弯（第一辑）（套装共4册）,704521条评论,北猫,95.7%推荐,四川少儿出版社,2016-01-01,http://product.dangdang.com/23878838.html
人类简史：从动物到上帝（第十届文津奖作品。颠覆认知，刷新世界观！我们的过去尽在此书！尤瓦尔赫拉利著，新老版封面随机发）,791444条评论,[以色列] 尤瓦尔・赫拉利（Yuval Noah Harari）,99.9%推荐,中信出版社,2017-01-01,http://product.dangdang.com/24186019.html
许三观卖血记（2017精装典藏版，增录新版自序）,153105条评论,余华 著，新经典 出品,100%推荐,北京十月文艺出版社,2017-10-01,http://product.dangdang.com/25165143.html
南明史（全2册）（内斗就要亡国，亡国也要内斗！从南明的灭亡，看透人性的荒唐！荣获中国国家图书奖，明史大家顾诚代表作）,77440条评论,顾诚；读客文化 出品,99.8%推荐,北京日报出版社,2022-03-01,http://product.dangdang.com/29383944.html
男孩百科--优秀男孩的学习妙招,84426条评论,彭凡  编著,100%推荐,化学工业出版社,2017-01-01,http://product.dangdang.com/24059881.html
拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习启蒙书，附赠超实用拼音全表） 小猛犸童书出品,306450条评论,周霞 著 段张取艺 绘,100%推荐,电子工业出版社,2018-10-15,http://product.dangdang.com/25352309.html
西游记幼儿美绘本（全10册）（点读版）,131099条评论,吕进 改编，吴家晔  贾雄虎 绘，海豚传媒 出品,99.9%推荐,少年儿童出版社,2018-05-01,http://product.dangdang.com/25276987.html
朝花夕拾 七年级上册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 120000多名读者热评！,199511条评论,鲁迅,99.9%推荐,时代文艺出版社,2021-06-01,http://product.dangdang.com/22854398.html
牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、李现、黄轩、TFBOYS、高圆圆推荐，能改变一个人一生的书）,678723条评论,（巴西）保罗・柯艾略 著，新经典 出品,99.9%推荐,北京十月文艺出版社,2018-01-01,http://product.dangdang.com/25172978.html
苏菲的世界（平装新版）八年级阅读乔斯坦贾德哲学入门书作家出版社,445529条评论,乔斯坦・贾德,100%推荐,作家出版社,2017-09-19,http://product.dangdang.com/25170989.html
快乐读书吧 二年级上册推荐阅读 小鲤鱼跳龙门 一只想飞的猫 孤独的小螃蟹 小狗的小房子“歪脑袋”木头桩 全彩注音有声套装5册 小学二年级课外阅读,237385条评论,金近，陈伯吹，冰波，孙幼军，严文井,100%推荐,商务印书馆,2019-06-01,http://product.dangdang.com/27883695.html
森林报 春/夏/秋/冬（以报刊纪实的手法，给孩子生动地讲述四季中的大自然百科。精美插图）,135433条评论,（苏）比安基 ；小当当童书馆 出品,100%推荐,安徽教育出版社,2019-01-01,http://product.dangdang.com/26491814.html
刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本）,83763条评论,"[英]毛姆 著,方华文 译",99.9%推荐,时代文艺出版社,2018-05-14,http://product.dangdang.com/25273833.html
终身成长：重新定义成功的思维模式,340663条评论,[美]卡罗尔・德韦克（Carol Dweck) ， 译者：楚�t楠   后浪,100%推荐,江西人民出版社,2017-11-01,http://product.dangdang.com/25166912.html
海底两万里（语文教材“名著导读”经典・七年级下。翻译家陈筱卿先生译本）,322057条评论,[法]儒勒・凡尔纳 著 陈筱卿 译,100%推荐,浙江工商大学出版社,2017-09-01,http://product.dangdang.com/25126138.html
爱，需要学习（为中国式亲密关系度身定制的实践指南，心理学者陈海贤教你拥有高质量亲密关系）,44266条评论,陈海贤 著，得到图书 出品,100%推荐,新星出版社,2022-01-05,http://product.dangdang.com/29338142.html
树孩：赵丽宏全新力作（2021年度中国好书获奖图书）,68043条评论,赵丽宏 著,100%推荐,长江文艺出版社,2021-09-01,http://product.dangdang.com/29284522.html
断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰的减法哲学,394026条评论,"山下英子 著,博集天卷 出品",100%推荐,湖南文艺出版社,2019-01-11,http://product.dangdang.com/26482259.html
我喜欢自己――邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本！,490338条评论,[美]南希・卡尔森 著，启发童书馆 出品 余治莹 译,99.6%推荐,河北教育出版社,2019-11-01,http://product.dangdang.com/27942697.html
了不起（冯唐成事学全新力作，一个人活明白了才是真的了不起！）,64785条评论,冯唐,100%推荐,北京联合出版有限公司,2022-08-01,http://product.dangdang.com/29445325.html
希腊神话故事 快乐读书吧 四年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 26000多名读者热评！,116163条评论,（德）施瓦布,100%推荐,南方出版社,2018-10-01,http://product.dangdang.com/26440478.html
狼王梦（升级版）/动物小说大王沈石溪・品藏书系,747087条评论,沈石溪,99.9%推荐,浙江少年儿童出版社,2018-07-01,http://product.dangdang.com/25309929.html
不爱说话的十一岁・纽伯瑞儿童文学奖金奖（写尽8~12岁孩子的心事！孩子到了有心事的年纪，只需要倾听、倾听和倾听）,68486条评论,[菲]艾琳.恩瑞达.凯莉 著；读客文化 出品,100%推荐,文汇出版社,2020-05-31,http://product.dangdang.com/28554400.html
小熊宝宝绘本（简装全15册）蒲蒲兰经典绘本！新手妈妈的育儿宝典！(0-3岁),1067823条评论,佐佐木洋子 文/图，蒲蒲兰 译,99.7%推荐,新世纪出版社,2007-05-16,http://product.dangdang.com/25289538.html
沧浪之水（某瓣8.5分，入围茅盾文学奖。职场小白、考公人的启蒙之书。胡军、于和伟主演电视剧岁月原著。2021版）,173455条评论,阎真  著 ， 新经典  出品,99.8%推荐,北京十月文艺出版社,2021-07-01,http://product.dangdang.com/29270902.html
命运（蔡崇达新书，畅销400万册《皮囊》作者长篇新作。刘德华、韩寒、白岩松、李敬泽、程永新联袂推荐！一个人的无常，所有人的命运）,86146条评论,蔡崇达，果麦文化 出品,100%推荐,浙江文艺出版社,2022-09-01,http://product.dangdang.com/29458883.html
全球最美的100个地方 图说天下 国家地理,383562条评论,《图书天下・国家地理系列》编委会,99.9%推荐,北京联合出版公司,2012-06-01,http://product.dangdang.com/22790547.html
DK博物大百科――自然界的视觉盛宴,246753条评论,英国DK公司,99.9%推荐,科学普及出版社,2018-09-01,http://product.dangdang.com/27887900.html
三毛流浪记（彩图注音读物）,630076条评论,张乐平   著,99.9%推荐,少年儿童出版社,2017-06-01,http://product.dangdang.com/25106955.html
山月记（如果你很迷茫！自我拉扯！一定要读《山月记》。日本文豪中岛敦笔下的中国物语，常年入选日本国语教材）【果麦经典】,229074条评论,（日）中岛敦，译者 徐建雄，绘者 撒旦君，果麦文化 出品,99.9%推荐,三秦出版社,2019-02-01,http://product.dangdang.com/26514431.html
中国古代神话 快乐读书吧四年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 6万多名读者热评！,96414条评论,闻钟主编,100%推荐,南方出版社,2019-06-01,http://product.dangdang.com/27898031.html
红楼梦 四大名著 高中语文“读整本书”推荐阅读 全本120回（足本典藏精装 无障碍阅读 疑难字注音 解词释义）15万多读者热评！,162638条评论,曹雪芹,99.9%推荐,商务印书馆,2016-04-01,http://product.dangdang.com/23992016.html
斯凯瑞金色童书・益智经典（百年诞辰纪念版，全4册）（原斯凯瑞金色童书・第一辑）,398831条评论,【美】理查德・斯凯瑞,99.7%推荐,贵州人民出版社,2019-05-01,http://product.dangdang.com/27852072.html
早起的奇迹,82520条评论,[美]哈尔・埃尔罗德（Hal Elrod）；易伊 译；中资海派  出品,100%推荐,广东人民出版社,2018-02-01,http://product.dangdang.com/25229707.html
大语文那些事儿（全6册）大语文时代，得语文者得天下。字词、作文、阅读、古诗、古文一网打尽。,137394条评论,赵旭,100%推荐,北京理工大学出版社,2020-10-01,http://product.dangdang.com/29194673.html
丰乳肥臀（莫言用情极深的长篇代表作，女性苦难史）,207437条评论,莫言,100%推荐,浙江文艺出版社,2020-03-01,http://product.dangdang.com/28531227.html
变量4：大国的腾挪（熬过去，就是海阔天空！看智慧的中国人如何腾挪自如、走出困境）,32470条评论,何帆 著，得到图书 出品,99.9%推荐,新星出版社,2022-01-04,http://product.dangdang.com/29346003.html
论语译注（简体字本） 修订新版,391015条评论,杨伯峻 译注,99.9%推荐,中华书局,2017-08-01,http://product.dangdang.com/25163221.html
东野圭吾：透明的螺旋（东野圭吾新书，《嫌疑人X的献身》系列新作！你，准备好逃出悲剧的循环了吗？）,64810条评论,（日）东野圭吾  著 ， 新经典  出品,100%推荐,南海出版公司,2022-04-01,http://product.dangdang.com/29389578.html
悠悠岁月（2022年诺贝尔文学奖得主安妮・埃尔诺作品）,61803条评论,（法）安妮・埃尔诺（AnnieErnaux） 著 吴岳添 译,99.9%推荐,人民文学出版社,2021-05-01,http://product.dangdang.com/29256580.html
围城,285497条评论,钱钟书,99.9%推荐,人民文学出版社,2017-06-01,http://product.dangdang.com/25095529.html
